Time (s),Laps (#),Speed (m/s),Gear (#),Brake (%),Throttle (%),SteeringAngle (rad)
1032.549971516909,7,0,0,1.0,0.0,0.027812723070383072
1032.5833048502423,7,0,0,1.0,0.0,0.027812723070383072
1032.6166381835756,7,0,0,1.0,0.0,0.027812723070383072
1032.6333048502422,7,0,0,1.0,0.0,0.027812723070383072
1032.6833048502422,7,0,0,1.0,0.0,0.027812723070383072
1032.7166381835755,7,0,0,1.0,0.0,0.027812723070383072
1032.7499715169088,7,0,0,1.0,0.0,0.027812723070383072
1032.783304850242,7,0,0,1.0,0.0,0.027812723070383072
1032.8166381835754,7,0,0,1.0,0.0,0.027812723070383072
1032.8499715169087,7,0,0,1.0,0.0,0.027812723070383072
1032.883304850242,7,0,0,1.0,0.11067195236682892,0.027812723070383072
1032.8999715169086,7,0,0,1.0,0.21739131212234497,0.027812723070383072
1032.933304850242,7,0,0,1.0,0.4861661195755005,0.027812723070383072
1032.983304850242,7,0,0,1.0,0.8893280029296875,0.027812723070383072
1033.0333048502418,7,0,0,1.0,1.0,0.027812723070383072
1033.0666381835752,7,0,0,1.0,1.0,0.027812723070383072
1033.0999715169085,7,0,0,1.0,1.0,0.027812723070383072
1033.1333048502418,7,0,0,1.0,1.0,0.027812723070383072
1033.166638183575,7,0,0,1.0,1.0,0.027812723070383072
1033.1999715169084,7,0,0,1.0,1.0,0.027812723070383072
1033.2333048502417,7,0,0,1.0,1.0,0.027812723070383072
1033.266638183575,7,0,0,1.0,1.0,0.027812723070383072
1033.2833048502416,7,0,0,1.0,1.0,0.027812723070383072
1033.316638183575,7,0,0,1.0,1.0,0.027812723070383072
1033.3499715169082,7,0,0,1.0,1.0,0.027812723070383072
1033.3833048502415,7,0,0,1.0,1.0,0.027812723070383072
1033.4166381835748,7,0,0,1.0,1.0,0.027812723070383072
1033.4499715169081,7,0,0,1.0,1.0,0.027812723070383072
1033.4833048502414,7,0,0,1.0,1.0,0.027812723070383072
1033.5166381835747,7,0,0,1.0,1.0,0.027812723070383072
1033.549971516908,7,0,0,1.0,1.0,0.027812723070383072
1033.5666381835747,7,0,0,1.0,1.0,0.027812723070383072
1033.599971516908,7,0,0,1.0,1.0,0.027812723070383072
1033.6333048502413,7,0,0,1.0,1.0,0.027812723070383072
1033.649971516908,7,0,0,1.0,1.0,0.027812723070383072
1033.699971516908,7,0,0,1.0,1.0,0.027812723070383072
1033.7333048502412,7,0,0,1.0,1.0,0.027812723070383072
1033.7666381835745,7,0,0,1.0,1.0,0.027812723070383072
1033.7999715169078,7,0,0,1.0,1.0,0.027812723070383072
1033.8166381835745,7,0,0,1.0,1.0,0.027812723070383072
1033.8499715169078,7,0,0,1.0,1.0,0.027812723070383072
1033.883304850241,7,0,0,1.0,1.0,0.02853846177458763
1033.9166381835744,7,0,0,1.0,1.0,0.03264972195029259
1033.9499715169077,7,0,0,1.0,1.0,0.0391794815659523
1033.983304850241,7,0,0,1.0,1.0,0.04740293696522713
1033.9999715169076,7,0,0,1.0,1.0,0.051756419241428375
1034.033304850241,7,0,0,1.0,1.0,0.055141936987638474
1034.0666381835742,7,0,0,1.0,1.0,0.055141933262348175
1034.0999715169075,7,0,0,1.0,1.0,0.055141933262348175
1034.1333048502408,7,0,0,1.0,1.0,0.055141933262348175
1034.1666381835742,7,0,0,1.0,1.0,0.055141933262348175
1034.1833048502408,7,0,0,1.0,1.0,0.055141933262348175
1034.2333048502408,7,0,0,1.0,1.0,0.055141933262348175
1034.266638183574,7,0,0,1.0,1.0,0.055141933262348175
1034.2833048502407,7,0,0,1.0,1.0,0.055141933262348175
1034.316638183574,7,0,0,1.0,1.0,0.055141933262348175
1034.3499715169073,7,0,0,1.0,1.0,0.055141933262348175
1034.3833048502406,7,0,0,1.0,1.0,0.055141933262348175
1034.416638183574,7,0,0,1.0,1.0,0.055141933262348175
1034.4499715169072,7,0,0,1.0,1.0,0.055141933262348175
1034.4833048502405,7,0,0,1.0,1.0,0.055141933262348175
1034.4999715169072,7,0,0,1.0,1.0,0.055141933262348175
1034.5333048502405,7,0,0,1.0,1.0,0.05489971116185188
1034.5666381835738,7,0,0,1.0,1.0,0.05610990151762962
1034.599971516907,7,0,0,1.0,1.0,0.05756043270230293
1034.6333048502404,7,0,0,1.0,1.0,0.05756043270230293
1034.6666381835737,7,0,1,-8.940696716308594e-08,1.0,0.05683469399809837
1034.6833048502403,7,0,1,0.0,1.0,0.05683469772338867
1034.7166381835737,7,0,1,0.0,1.0,0.05683469772338867
1034.749971516907,7,0,1,0.0,1.0,0.05683469772338867
1034.7833048502403,7,0,1,0.0,1.0,0.05683469772338867
1034.8166381835736,7,0,1,0.0,1.0,0.05683469772338867
1034.8499715169069,7,0,1,0.0,1.0,0.05683469772338867
1034.8833048502402,7,0,1,0.0,1.0,0.056593410670757294
1034.9166381835735,7,0,1,0.0,1.0,0.056593406945466995
1034.9333048502401,7,0,1,0.0,1.0,0.056593406945466995
1034.9666381835734,7,1.232866883277893,1,0.0,1.0,0.06094689667224884
1034.9999715169067,7,1.4191372394561768,1,0.0,1.0,0.06554166972637177
1035.03330485024,7,1.57771897315979,1,0.0,1.0,0.07134568691253662
1035.0666381835733,7,1.7356290817260742,1,0.0,1.0,0.07981041073799133
1035.0999715169066,7,1.898078203201294,1,0.0,0.9841898679733276,0.09093590080738068
1035.13330485024,7,2.061972141265869,1,0.0,0.9920947551727295,0.10278661549091339
