Time (s),Laps (#),Speed (m/s),Gear (#),Brake (%),Throttle (%),SteeringAngle (rad)
1591.916642251643,14,0,0,1.0,1.0,-0.0793231725692749
1591.9499755849763,14,0,1,-8.940696716308594e-08,1.0,-0.07859743386507034
1591.9833089183096,14,0,1,0.0,1.0,-0.07859743386507034
1592.016642251643,14,0,1,0.0,1.0,-0.07859743386507034
1592.0499755849762,14,0,1,0.0,1.0,-0.08077464252710342
1592.0666422516429,14,0,1,0.0,1.0,-0.08174166828393936
1592.0999755849762,14,0,1,0.0,1.0,-0.08174166828393936
1592.1333089183095,14,0,1,0.0,0.9960474967956543,-0.08174166828393936
1592.1499755849761,14,0,1,0.0,0.9762846231460571,-0.08174166828393936
1592.1833089183094,14,0,1,0.0,0.9446640014648438,-0.08174166828393936
1592.2166422516427,14,1.0233498811721802,1,0.0,0.940711498260498,-0.08174166828393936
1592.249975584976,14,1.2540842294692993,1,0.0,0.940711498260498,-0.08077464252710342
1592.2833089183093,14,1.447080135345459,1,0.0,0.9644269347190857,-0.07956445217132568
1592.3166422516426,14,1.6119375228881836,1,0.0,0.9999998807907104,-0.07690468430519104
1592.349975584976,14,1.7759387493133545,1,0.0,1.0,-0.07182638347148895
1592.3833089183092,14,1.9445345401763916,1,0.0,1.0,-0.061911121010780334
1592.399975584976,14,2.0294766426086426,1,0.0,1.0,-0.05610708147287369
1592.4333089183092,14,2.1999857425689697,1,0.0,1.0,-0.04159610718488693
1592.4666422516425,14,2.369020938873291,1,0.0,1.0,-0.02079758420586586
1592.4999755849758,14,2.538769245147705,1,0.0,1.0,-2.3283064365386963e-10
1592.533308918309,14,2.7094409465789795,1,0.0,1.0,0.020073719322681427
1592.5666422516424,14,2.8804714679718018,1,0.0,1.0,0.036760974675416946
1592.5999755849757,14,2.9659016132354736,1,0.0,1.0,0.05127197504043579
1592.633308918309,14,3.222816228866577,1,0.0,1.0,0.05925320088863373
1592.6499755849757,14,3.308643102645874,1,0.0,1.0,0.062155209481716156
1592.683308918309,14,3.4808404445648193,1,0.0,1.0,0.06360669434070587
1592.7166422516423,14,3.6531057357788086,1,0.0,1.0,0.06360667943954468
1592.7666422516422,14,3.9107491970062256,1,0.0,1.0,0.06360667943954468
1592.7833089183089,14,3.997622489929199,1,0.0,1.0,0.06360667943954468
1592.8166422516422,14,4.172469139099121,1,0.0,1.0,0.06723349541425705
1592.8499755849755,14,4.3466362953186035,1,0.0,1.0,0.07545695453882217
1592.8833089183088,14,4.520115375518799,1,0.0,1.0,0.0890008956193924
1592.916642251642,14,4.6983795166015625,1,0.0,1.0,0.10907462239265442
1592.9499755849754,14,4.87357759475708,1,0.0,1.0,0.133503258228302
1592.9833089183087,14,5.044814109802246,1,0.0,1.0,0.15865619480609894
1593.016642251642,14,5.220897197723389,1,0.0,1.0,0.18090802431106567
1593.0499755849753,14,5.395605087280273,1,0.0,1.0,0.1997738778591156
1593.0833089183086,14,5.569283962249756,1,0.0,1.0,0.21090026199817657
1593.116642251642,14,5.759012222290039,1,0.0,1.0,0.21646258234977722
1593.1333089183086,14,5.853906154632568,1,0.0,1.0,0.21670430898666382
1593.1666422516419,14,6.035647869110107,1,0.0,1.0,0.21670430898666382
1593.1999755849752,14,6.226568222045898,1,0.0,1.0,0.21670430898666382
1593.2333089183085,14,6.4149699211120605,1,0.0,1.0,0.21670430898666382
1593.2833089183084,14,6.688956260681152,1,0.0,1.0,0.21670430898666382
